label	TSNE_1	TSNE_2
CENTRAL_NERVOUS_SYSTEM	-25.520147	-20.79314
LUNG	15.249464	38.516373
BREAST	25.679594	-18.826405
LUNG	17.114292	-28.477268
BREAST	-16.123476	-37.345577
LUNG	18.896875	-23.174877
LUNG	-8.054316	-18.55819
BREAST	-32.62438	-8.063548
BREAST	55.556637	9.097091
BREAST	67.16833	11.198548
LUNG	-9.1023035	-22.901182
BREAST	67.864845	12.584108
BREAST	49.854855	3.7715075
LUNG	69.4748	-36.2212
BREAST	14.168159	-9.985229
LUNG	8.2641325	-17.346296
BREAST	13.959873	17.709148
LUNG	29.308886	-49.37197
BREAST	28.907776	-15.94206
BREAST	53.59446	4.487578
BREAST	60.007675	8.026597
LUNG	2.3520956	-21.318615
BREAST	14.096838	-8.958723
BREAST	55.90645	7.300269
LUNG	-5.8861933	-10.575737
LUNG	24.955156	18.497643
LUNG	1.7352656	-14.83667
LUNG	21.976313	20.987883
LUNG	17.988897	-30.295504
LUNG	14.993949	-44.552013
LUNG	0.2880485	-17.438387
LUNG	3.1364973	-22.466711
BREAST	-17.810776	-40.581387
LUNG	19.089146	-32.57726
LUNG	-3.8253095	-4.7586946
LUNG	-1.551969	-17.797718
LUNG	46.520966	39.5989
LARGE_INTESTINE	68.927925	-38.523533
BREAST	29.584763	-17.014912
LUNG	32.614815	11.874305
LUNG	16.06751	-3.225552
LUNG	16.51039	-2.17892
LUNG	16.27537	38.39619
LARGE_INTESTINE	45.691437	-34.343292
LARGE_INTESTINE	46.214615	-33.893818
HALT	-48.760273	63.613407
HALT	-10.844284	-18.02299
BREAST	22.78087	4.3353877
KIDNEY 	-5.564932	1.6784197
HALT	-2.076457	85.112785
HALT	-1.8331817	84.988106
OVARY	-10.612724	-15.471524
STOMACH 	0.9524236	-33.90177
HALT	-43.097263	64.21263
HALT	3.732998	100.96709
FIBROBLAST 	-55.366604	-18.471647
BREAST	-1.0431205	-27.707508
SKIN	-33.853363	-73.19721
BREAST	12.679988	29.563374
HALT	-5.027684	97.30218
LUNG	-4.150343	-13.768224
LUNG	-3.4736743	-7.318802
PANCREAS	24.352322	-0.20919628
PANCREAS	71.76228	-30.379274
HALT	-33.108246	93.81214
FIBROBLAST 	-53.79336	-21.214474
FIBROBLAST 	-52.96147	-16.33779
FIBROBLAST 	-73.225784	-19.425825
FIBROBLAST 	-64.53185	-8.464865
FIBROBLAST 	-63.546307	-19.688688
SKIN	-39.0929	-67.54327
FIBROBLAST 	-65.21453	-17.478718
BREAST	-65.57374	-21.087242
FIBROBLAST 	-67.305954	-8.30838
FIBROBLAST 	-65.5266	-18.49569
HALT	-51.801	75.691154
FIBROBLAST 	-68.976944	-8.488616
FIBROBLAST 	-54.161667	-17.626204
FIBROBLAST 	-55.956226	-20.046522
CENTRAL_NERVOUS_SYSTEM	-27.274061	-21.60244
FIBROBLAST 	-63.08487	-16.739445
SKIN	-38.480255	-69.70985
FIBROBLAST 	-68.12887	-10.069624
FIBROBLAST 	-62.384117	-15.298741
FIBROBLAST 	-65.16787	-19.230679
FIBROBLAST 	-67.36366	-18.706985
STOMACH 	11.151152	-29.833256
FIBROBLAST 	-63.845127	-8.732236
PANCREAS	19.480864	-8.199736
FIBROBLAST 	-63.982548	-14.992704
FIBROBLAST 	-60.80924	-16.217356
FIBROBLAST 	-64.56716	-14.919382
FIBROBLAST 	-68.36092	-9.266365
FIBROBLAST 	-64.626495	-11.988044
FIBROBLAST 	-54.522293	-17.028372
SKIN	-35.078114	-66.99108
FIBROBLAST 	-60.5065	-13.138364
FIBROBLAST 	-59.417553	-13.076155
FIBROBLAST 	-55.94492	-14.574096
FIBROBLAST 	-53.18299	-19.514406
FIBROBLAST 	-62.677357	-11.65543
SKIN	-36.41201	-88.80786
SKIN	-42.019726	-72.71307
FIBROBLAST 	-73.19911	-19.203178
SKIN	-33.5063	-71.0642
UPPER_AERODIGESTIVE_TRACT	16.687773	18.876999
UPPER_AERODIGESTIVE_TRACT	20.441513	32.17695
UPPER_AERODIGESTIVE_TRACT	22.214731	24.99623
LARGE_INTESTINE	64.3567	-39.70468
SKIN	-39.470062	-70.87381
LARGE_INTESTINE	62.06414	-34.087654
LARGE_INTESTINE	71.69237	-41.2327
HALT	-56.891224	77.398994
STOMACH 	69.363495	-23.29031
HALT	-45.72877	67.82769
PANCREAS	27.232454	1.3304368
PANCREAS	29.601086	6.0197453
HALT	-45.8452	62.955185
HALT	-41.9645	74.53285
LUNG	15.194589	-22.835178
SKIN	-33.366276	-84.698586
SKIN	-36.20718	-89.64429
SKIN	-22.927511	-20.333885
OVARY	-6.61109	7.4915047
STOMACH 	59.305676	-29.039694
HALT	-30.260544	49.45164
CENTRAL_NERVOUS_SYSTEM	-11.382375	-13.64525
SKIN	-32.631897	-79.469154
HALT	-48.51396	87.235504
OVARY	-11.5230465	15.325247
OVARY	12.545278	38.891872
OVARY	66.07755	-41.4189
OVARY	17.753021	2.26123
OVARY	11.5761175	3.1738908
BREAST	29.621801	-7.401815
HALT	-26.735247	40.83538
HALT	5.488052	85.17702
HALT	-45.568447	89.61097
HALT	-28.140041	87.9688
HALT	3.989958	90.19508
HALT	-50.669827	67.540886
HALT	-48.18442	67.61131
SKIN	-32.770355	-83.01992
HALT	8.565017	91.27485
