Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
DDB2	3.05	12.68	13.86	12.59	11.55	10.86	17.65	17.37	10.66	3.3	15.2	9.6	9.1	18.83	16.97	10.35	19.78	13.07	28.05	13.58	7.44	36.43	28.95	14.03	12.45	6.4	11.1	27.01	19.33	14.73	19.58	84.73	17.59	32.64	45.26	45.97	7.47	21.45	22.27	15.37	21.24	26.32	12.11	8.67	25.36	8.75	36.61	14.29	16.97	19.6	12.71
MYH9	142.84	313.17	145.69	128.67	435.45	159.56	93.61	149.34	91.57	226.78	81.21	118.81	89.06	498.0	302.63	459.56	128.65	160.64	36.48	268.55	254.04	81.57	137.74	190.94	111.62	250.8	78.12	451.5	305.92	118.21	91.1	270.15	2481.3	213.94	103.93	59.09	32.24	23.81	264.6	413.88	218.58	271.37	170.99	156.25	300.73	120.77	100.96	45.33	88.41	43.51	180.78
SMO	0.04	0.04	12.24	0.06	7.62	1.02	42.62	55.03	0.07	0.09	0.04	0.76	8.69	0.72	77.71	16.86	4.66	0.47	0.06	38.24	7.17	14.14	2.14	0.11	0.03	4.21	0.09	16.56	0.02	10.47	9.87	15.37	7.98	15.54	0.14	0.06	0.22	26.69	3.99	0.03	8.97	0.99	18.8	0.07	1.36	0.02	9.38	0.14	0.03	0.6	2.78
BCL9	17.93	15.15	8.62	55.94	8.06	5.73	62.31	59.97	3.86	13.46	20.3	8.69	17.94	9.81	34.39	14.41	13.86	11.97	5.25	19.89	13.65	3.97	2.36	26.66	18.34	16.61	15.74	21.53	14.44	5.22	18.66	4.63	4.59	13.13	16.9	9.78	7.4	7.88	21.91	6.55	9.45	5.79	14.55	7.28	12.96	7.51	10.65	3.44	8.62	8.99	16.09
FLT4	0.02	0.17	0.67	0.91	0.07	0.22	0.22	11.25	0.06	5.14	8.61	0.3	0.0	8.62	4.12	0.98	0.0	0.07	3.53	0.1	5.99	1.25	1.32	0.17	0.05	0.0	1.06	2.99	0.0	0.23	3.0	0.04	0.01	0.14	1.16	0.37	0.01	4.79	2.19	0.0	3.55	0.04	14.55	14.84	0.02	0.01	19.17	0.01	0.07	6.12	0.56
HIST1H4I	0.68	1.31	0.47	0.84	0.38	0.52	0.29	0.24	0.79	0.91	1.38	0.63	0.33	0.17	0.2	0.95	1.25	2.46	2.0	0.67	0.21	0.64	2.25	1.69	0.79	0.14	0.41	7.41	1.55	0.85	1.97	0.42	0.17	1.24	2.18	2.49	1.31	0.61	0.41	0.25	1.18	0.69	0.12	2.29	0.52	0.48	0.17	0.0	1.19	4.27	0.33
TCL1A	0.0	0.0	0.05	0.43	0.51	0.07	0.12	0.17	0.1	0.22	0.0	0.19	0.04	0.04	0.09	0.11	0.0	0.13	0.35	0.2	0.13	0.22	0.15	0.07	0.15	0.0	0.11	0.11	0.16	0.01	0.11	0.0	0.14	0.11	0.19	0.05	0.04	0.08	0.08	0.07	0.11	0.2	0.06	0.03	0.39	0.03	0.05	0.82	0.23	0.91	0.0
PHOX2B	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.03	0.02	0.0	0.01	0.0	0.02	0.02	0.0	0.0	0.05	0.02	0.02	0.0	0.02	0.01	0.01	0.01	0.01	0.0	0.02	0.0	0.01	0.01	0.0	0.02	0.0	0.02	0.0	0.01	0.01	0.01	0.03	0.02	0.0	0.01	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.0
COL2A1	0.07	0.08	1.24	0.79	0.03	0.04	0.02	2.61	0.01	0.25	0.01	0.21	270.19	0.05	0.13	0.03	0.51	0.19	0.32	2.1	0.01	0.11	0.05	0.14	0.1	0.11	0.09	0.2	0.06	0.08	0.07	1.15	0.04	0.01	0.24	0.32	13.27	0.12	10.54	0.04	1.6	8.72	0.1	0.47	0.02	0.04	0.37	1.37	0.25	0.09	2.23
TSC1	9.31	13.07	10.23	15.62	7.82	10.0	6.22	14.45	4.6	12.55	11.79	6.59	13.07	10.32	11.36	9.32	13.01	12.21	14.62	11.35	17.55	6.54	9.84	11.3	9.46	9.98	4.8	13.41	10.89	5.92	15.21	14.09	7.67	7.93	10.46	8.36	14.7	8.52	17.97	12.04	12.47	8.85	10.27	6.87	5.57	7.11	15.39	11.03	12.63	16.5	8.87
