Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
ACSL6	0.03	0.07	0.08	0.2	0.26	0.04	0.12	0.02	0.04	0.22	67.01	0.24	0.01	0.27	0.61	0.08	0.09	0.75	0.3	1.93	0.05	0.09	0.17	0.25	0.08	5.41	0.07	0.44	0.0	0.04	0.02	1.52	0.01	0.02	0.03	0.06	0.74	1.55	0.08	0.04	0.19	0.13	0.17	0.01	0.28	0.04	0.18	0.19	1.36	2.88	0.29
MLLT3	12.01	13.18	2.97	6.57	0.82	3.15	14.03	5.89	4.09	0.39	1.27	4.48	4.95	0.53	5.5	5.76	7.12	9.77	15.58	4.94	4.3	3.15	0.28	4.54	20.0	9.39	7.49	3.78	52.32	2.01	4.22	6.79	12.94	0.68	10.77	8.45	7.55	1.08	9.07	8.82	8.44	34.46	2.07	5.88	5.21	6.6	7.22	3.77	0.56	4.9	20.45
FOXO3	5.89	46.69	27.74	5.17	8.47	10.02	29.4	8.91	11.17	4.58	2.07	9.37	19.98	17.55	22.04	13.33	18.96	5.42	4.99	9.67	10.39	7.6	18.25	20.11	3.44	11.1	6.31	14.1	15.94	15.55	30.27	17.77	15.63	10.26	9.03	12.39	6.12	6.78	8.83	7.06	19.56	11.57	13.3	8.89	23.35	6.0	6.75	7.13	22.06	4.98	10.86
PMS1	6.14	16.56	9.39	5.68	19.07	25.34	11.86	23.57	4.08	10.78	13.87	8.59	12.35	19.94	6.64	14.45	8.73	8.73	7.96	9.08	11.1	10.15	10.01	13.06	6.38	13.42	3.32	11.96	12.51	8.2	16.43	16.12	11.09	7.75	7.03	8.54	18.85	10.19	3.5	9.06	10.6	6.03	21.07	12.24	12.83	5.31	7.55	8.36	21.54	13.68	4.23
ACVR1	10.77	13.33	4.34	6.73	12.9	6.42	3.94	5.56	6.59	7.81	4.71	9.0	4.6	19.25	10.15	18.45	6.42	5.7	5.84	12.54	6.89	3.74	6.35	32.88	8.86	2.11	4.68	26.52	22.96	5.32	9.49	21.8	43.89	4.72	10.82	7.01	3.67	9.99	5.59	8.66	7.8	6.67	10.08	7.58	10.37	5.5	3.07	2.23	15.01	4.37	5.82
CTNND1	94.3	92.04	89.67	91.05	62.63	63.94	72.01	93.69	64.47	79.77	33.08	50.27	71.12	90.94	172.93	95.56	102.24	98.2	87.19	56.59	32.72	136.45	111.39	217.81	99.96	53.17	73.86	154.41	110.53	52.21	52.15	128.02	84.2	91.68	48.98	45.7	99.94	38.79	67.81	49.57	66.44	224.83	33.05	66.79	98.7	91.03	135.02	55.5	139.54	47.38	107.99
POLG	31.16	60.07	29.83	24.59	21.99	36.56	41.82	51.65	25.61	44.19	39.66	30.56	46.56	65.99	34.89	57.93	27.04	34.22	53.13	56.88	81.72	16.58	10.3	25.36	22.0	33.82	24.36	63.8	27.48	21.91	42.66	59.09	53.93	31.45	52.01	40.7	37.94	29.86	43.51	31.5	57.29	44.08	46.03	53.94	30.49	28.67	36.92	26.87	44.86	41.47	38.43
MITF	2.05	5.96	1.2	2.91	2.91	12.17	2.14	10.7	4.83	1.97	0.03	2.51	1.77	2.69	1.09	1.11	2.16	0.23	0.08	2.29	1.86	1.05	7.57	5.45	2.03	1.38	1.89	4.82	6.24	3.99	1.29	2.61	1.48	0.61	1.64	0.4	0.56	0.86	8.16	7.0	8.93	1.15	6.07	2.84	4.68	2.1	0.38	0.53	1.43	0.63	5.36
MLF1	4.8	19.29	17.31	30.88	28.81	49.91	15.17	0.18	23.49	12.99	0.0	8.98	23.06	43.79	10.04	21.13	26.14	44.06	149.59	84.81	28.11	20.83	27.18	22.41	38.15	41.0	8.4	42.91	28.35	30.41	24.08	11.08	43.13	58.04	17.77	13.33	29.48	27.74	12.39	14.23	16.91	17.48	32.43	7.9	21.22	8.03	23.13	20.48	15.14	17.44	3.25
RABEP1	47.5	45.15	38.7	64.18	45.91	30.64	26.85	31.78	15.04	33.99	28.64	23.65	36.0	19.48	34.02	41.1	141.84	44.47	65.7	37.01	16.58	11.0	24.91	37.52	33.95	13.95	23.37	23.55	13.75	14.78	21.98	19.05	30.14	15.95	23.68	24.77	45.49	45.12	20.39	26.14	41.06	53.54	46.42	45.14	24.68	29.43	84.58	20.21	29.1	51.22	45.37
MAPK1	47.37	45.75	35.62	91.77	49.62	19.81	17.56	47.41	27.35	53.48	26.35	28.45	27.96	70.65	51.28	38.06	33.94	41.75	51.32	48.25	37.42	18.76	57.12	144.56	27.32	30.75	13.4	168.16	76.26	18.64	29.53	28.46	88.86	33.3	19.89	21.75	26.25	36.49	51.21	36.07	51.71	23.58	34.22	26.35	56.16	35.98	23.89	11.77	22.96	82.02	37.04
CTNNB1	72.88	116.95	75.28	106.51	121.91	51.25	158.56	173.72	78.07	121.53	500.1	41.76	99.55	490.93	183.02	228.68	84.51	60.43	93.49	121.76	205.31	66.97	67.52	245.98	76.54	31.37	38.33	430.19	97.68	73.87	99.63	154.98	114.38	121.08	100.88	86.04	37.61	86.2	102.84	161.5	92.42	47.22	110.27	93.4	140.88	64.71	122.66	42.19	38.09	70.63	77.85
ETV1	0.25	4.04	0.15	0.09	1.58	4.32	0.67	20.64	1.11	0.11	7.39	0.04	0.1	0.26	9.09	3.65	0.13	0.15	0.34	19.84	0.11	0.97	1.72	5.13	2.6	0.02	0.05	5.86	0.23	5.81	8.04	2.56	2.63	1.41	0.36	0.07	0.14	0.94	1.12	28.13	3.03	0.17	24.58	0.6	2.91	0.32	0.86	0.15	2.78	2.97	0.83
RUNX1T1	0.01	0.07	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.19	0.0	0.01	0.38	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.12	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.82	0.0	1.25	0.08	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.09	0.03	0.0	0.0	0.01
SUZ12	13.63	23.26	27.26	29.07	23.18	24.26	15.01	34.62	20.38	31.47	44.61	13.05	77.31	28.18	20.87	18.01	14.72	15.47	42.96	20.02	58.14	10.11	27.78	35.7	14.88	13.92	13.57	65.57	21.45	13.86	32.3	17.53	11.84	26.49	9.67	11.0	24.75	24.46	19.84	32.14	21.23	14.79	15.55	32.05	19.55	10.26	35.62	11.05	16.06	30.11	8.96
SPOP	12.47	19.82	88.52	34.83	20.34	24.31	29.7	41.09	17.45	28.53	34.7	64.59	24.3	29.16	19.91	22.33	186.64	61.81	65.83	30.55	31.45	15.65	27.05	25.97	92.43	16.0	47.26	54.24	18.8	14.39	59.55	21.9	27.69	29.49	39.2	52.05	63.41	30.25	16.96	35.48	59.59	28.73	14.1	58.34	20.08	10.51	51.89	19.46	8.71	46.41	42.54
DCC	0.01	0.0	0.0	0.01	0.05	1.12	0.0	0.06	0.01	0.0	0.0	0.06	0.02	0.0	0.02	0.01	0.0	0.0	0.16	0.0	0.0	0.01	0.0	0.0	0.0	0.05	0.1	0.04	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.0	0.02	0.0	0.06	0.1	0.25	0.02	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.0	0.01
MLH1	37.65	32.43	16.65	24.62	33.68	13.96	35.23	0.24	22.61	41.26	38.03	28.34	22.23	38.9	15.55	52.56	46.9	39.49	26.31	0.3	14.14	12.64	28.25	32.57	30.39	5.91	13.98	49.91	22.85	16.21	25.68	26.34	27.44	32.65	31.49	32.46	26.46	41.35	23.29	38.31	34.15	15.19	35.71	49.77	20.61	36.51	77.89	18.14	23.49	28.06	20.2
EWSR1	259.94	226.1	224.45	187.77	225.24	149.29	153.41	415.39	132.95	210.53	260.53	151.84	183.04	350.13	264.99	322.71	266.0	161.98	259.43	352.06	183.76	167.77	229.53	269.19	310.72	195.89	183.37	208.45	251.22	152.09	249.86	222.4	179.39	239.5	205.98	247.29	222.23	253.55	212.53	217.03	424.62	397.56	309.93	342.05	346.85	255.01	192.22	183.42	133.64	214.88	221.67
MYC	96.21	45.11	52.57	29.69	72.36	157.07	117.31	18.78	40.32	70.21	26.31	91.67	106.27	179.35	91.99	78.2	11.07	56.35	22.84	128.47	368.39	39.65	47.46	82.52	2.84	293.61	80.99	39.31	52.07	29.41	288.18	254.23	74.76	98.93	45.35	39.55	39.25	28.93	9.18	58.04	19.53	33.5	96.95	42.77	68.17	87.93	31.75	41.28	50.43	70.21	80.92
TBX3	5.02	7.89	91.38	15.37	36.45	0.56	9.74	3.57	6.77	112.05	54.57	7.61	49.12	16.98	0.08	32.45	30.38	1.95	22.84	8.08	28.16	3.53	2.85	9.11	7.12	46.47	44.61	16.27	0.21	0.22	0.65	19.0	25.92	2.51	3.79	2.25	166.84	31.01	43.48	0.03	45.31	90.25	5.64	39.64	0.08	4.17	5.36	52.97	8.28	5.79	124.04
ERCC2	18.89	40.57	18.29	32.29	57.55	85.3	15.8	35.43	7.46	22.81	10.88	21.74	18.36	33.02	28.01	23.91	11.84	23.85	17.92	19.41	8.22	15.6	45.52	35.43	23.29	19.6	17.11	48.97	23.6	11.42	17.66	21.03	87.78	25.67	19.9	18.09	19.22	17.02	22.99	54.11	18.26	12.98	16.42	15.96	20.42	17.05	16.24	17.14	16.82	24.32	19.07
KMT2C	28.99	24.62	22.69	40.94	8.97	9.16	23.13	21.83	3.06	21.14	16.78	23.37	20.19	7.19	20.67	23.72	14.92	24.13	29.43	19.93	20.48	3.07	11.99	17.23	24.0	24.4	14.66	17.3	26.95	8.55	5.89	13.29	12.35	10.15	17.86	12.47	23.49	11.0	16.6	9.16	15.88	17.84	8.39	19.93	11.99	21.42	9.69	12.63	22.87	17.69	18.11
GOLGA5	21.78	43.82	42.15	17.17	29.23	22.82	21.68	21.36	13.46	33.43	13.36	39.82	27.01	33.43	33.28	58.57	28.23	27.98	39.74	15.21	16.48	15.42	30.42	40.11	30.01	21.42	34.69	37.19	47.38	17.67	20.75	15.42	29.62	9.18	37.17	35.56	24.68	42.09	39.5	20.66	18.45	30.68	17.38	28.19	15.89	16.11	34.34	13.44	23.98	61.87	45.97
PIK3CA	9.32	16.08	6.55	6.78	10.05	7.17	4.59	7.65	10.34	12.87	7.16	4.75	16.58	15.81	17.78	10.0	7.51	10.17	18.53	12.22	16.0	8.05	11.75	16.82	12.01	7.11	3.07	17.13	14.98	9.21	14.82	8.78	20.24	10.44	5.0	5.86	8.48	9.92	5.48	7.83	5.96	6.81	6.44	8.06	5.63	7.12	13.82	2.69	10.76	6.41	9.81
SSX4	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.03	0.08	0.0	0.4	0.05	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0
KDR	0.04	0.0	0.0	0.1	0.06	0.29	0.01	0.01	0.28	0.01	0.01	0.11	0.01	2.89	0.2	0.01	0.03	0.01	0.01	0.06	0.07	0.0	0.02	0.21	0.09	0.01	0.15	0.21	0.04	0.26	0.02	12.53	0.11	0.01	0.02	0.02	0.01	0.24	0.81	1.12	0.03	0.02	0.77	0.0	0.79	0.02	0.02	0.07	0.14	0.08	0.01
MLLT10	21.35	48.0	17.89	30.41	30.53	20.85	17.33	23.46	13.96	19.88	30.5	11.59	32.64	36.97	21.35	28.49	18.21	43.58	38.26	37.54	38.02	6.91	28.55	18.02	25.91	53.7	11.9	28.78	45.17	19.23	16.46	9.84	17.9	18.6	30.75	19.1	29.79	16.79	13.67	20.01	18.58	9.53	62.78	14.86	17.95	19.99	11.71	15.54	31.62	30.15	14.32
TGFBR2	7.88	24.51	2.34	0.18	29.27	1.42	0.11	10.91	15.46	0.23	0.06	0.98	0.11	40.23	26.19	32.72	0.04	0.35	0.79	3.23	0.86	7.37	12.4	22.94	1.19	0.51	0.46	24.2	20.78	11.25	2.0	133.26	18.06	15.99	5.03	4.94	0.05	20.49	1.43	46.88	7.17	2.35	20.63	0.24	12.23	2.24	0.05	0.29	6.11	0.59	0.14
GNAQ	11.74	69.04	18.9	25.74	15.66	18.25	13.52	31.44	2.3	17.72	10.88	11.33	9.5	9.83	17.21	19.43	20.16	28.49	27.33	11.56	9.02	12.77	21.27	25.09	14.18	6.75	10.16	11.17	33.58	11.59	10.96	13.91	19.71	8.55	11.27	10.94	23.94	6.66	12.13	11.13	17.96	6.79	18.11	0.15	20.61	10.13	12.03	10.29	14.04	16.74	10.81
CASP3	21.59	44.36	44.04	24.05	37.99	21.73	19.63	46.7	7.13	29.91	61.38	31.97	18.43	21.32	28.19	14.99	37.14	9.24	24.54	24.57	26.15	13.36	29.75	32.72	25.3	32.77	15.74	35.87	22.59	16.07	14.2	15.36	15.64	13.04	6.18	4.42	28.0	33.52	29.35	23.1	32.29	13.54	16.26	27.77	27.16	16.22	12.71	9.33	37.31	31.57	22.72
FANCE	8.02	6.46	5.03	4.1	6.55	4.95	13.86	7.99	3.77	7.59	12.08	8.06	5.31	8.98	9.96	6.66	3.59	6.72	5.33	10.23	8.62	3.68	7.65	7.38	5.74	12.08	3.11	5.03	5.25	5.02	2.7	8.86	4.47	3.59	3.22	3.8	6.74	9.49	3.45	20.55	9.32	2.84	6.31	7.21	13.45	4.91	6.83	3.23	8.45	4.57	4.7
EED	31.57	65.62	13.87	16.55	28.3	26.06	19.71	38.06	22.64	14.15	32.33	21.31	20.49	17.92	19.6	19.88	12.73	20.3	58.25	42.95	18.85	23.33	35.75	34.62	24.73	18.35	12.89	48.08	30.83	15.89	29.92	29.44	21.12	32.16	36.86	29.46	9.57	33.29	8.75	38.39	26.54	12.6	46.16	45.46	42.97	22.61	44.21	24.69	38.37	17.39	8.85
JAK3	0.54	0.93	0.02	1.06	0.04	2.63	0.05	0.23	0.19	0.13	0.3	0.02	1.4	1.01	0.03	2.2	0.05	1.37	0.28	1.69	0.36	0.68	0.79	1.49	2.37	0.36	0.78	0.26	0.33	2.45	1.09	1.35	0.08	3.2	0.29	0.11	0.03	1.32	2.85	0.23	0.03	0.08	1.44	0.04	0.57	0.26	2.74	2.21	0.12	0.15	0.18
NFATC2	1.78	0.25	1.35	1.53	0.73	0.74	2.7	3.56	0.91	0.14	0.04	1.89	4.36	4.61	0.43	3.48	0.04	0.51	1.1	0.07	0.57	0.03	2.46	0.62	0.02	0.77	0.19	7.12	2.28	0.58	0.14	0.19	0.54	0.34	17.48	2.46	0.12	1.52	1.69	3.85	0.51	0.02	0.37	0.01	2.47	1.33	0.86	0.5	2.86	2.41	0.02
TRRAP	17.17	14.64	17.75	23.52	14.58	10.89	33.77	31.78	5.61	16.12	29.01	17.0	9.08	9.5	38.64	21.98	10.53	16.89	12.37	20.01	13.41	5.47	9.26	18.52	20.89	11.6	11.44	24.2	14.41	9.84	20.43	12.56	13.63	11.42	25.56	16.52	9.62	13.08	15.15	17.22	15.59	6.01	21.41	6.03	13.49	13.79	7.16	5.23	11.07	10.59	8.87
SETBP1	1.11	2.52	2.01	2.08	4.96	1.34	24.38	1.94	1.06	0.67	6.54	0.35	0.01	4.79	30.76	13.26	0.01	2.66	5.48	0.86	0.24	1.2	0.6	2.8	0.8	0.13	0.22	13.19	5.55	0.0	0.17	2.07	1.33	0.25	1.19	0.85	2.09	0.46	1.07	0.07	2.07	0.07	0.7	4.47	3.19	0.01	2.52	0.07	0.72	2.19	1.84
SPECC1	47.5	51.36	8.64	4.32	69.46	17.76	13.33	35.0	38.23	15.4	11.81	31.6	3.02	55.29	62.87	18.26	96.69	15.3	0.33	10.08	14.38	13.08	30.6	41.2	41.2	13.89	4.01	51.38	22.15	35.57	1.97	31.8	36.28	20.6	37.51	20.04	5.1	37.91	10.01	26.51	19.24	5.6	20.52	11.55	27.96	31.49	35.06	8.68	0.06	8.51	13.12
PRRX1	0.17	0.03	0.1	0.06	6.95	1.04	0.1	6.83	0.07	0.04	0.12	0.41	0.01	1.08	3.19	22.41	0.06	0.07	0.04	0.09	0.13	0.03	0.09	0.01	0.21	0.16	0.01	0.92	0.21	0.29	49.12	0.19	48.88	0.0	0.0	0.03	0.0	21.77	1.39	0.14	0.66	0.01	35.65	0.04	0.08	0.01	0.03	0.07	0.06	0.25	0.02
FAT3	0.0	0.0	0.12	0.02	1.34	3.62	0.0	0.22	0.03	0.0	0.0	0.06	0.0	0.21	0.36	0.03	0.0	0.0	0.15	0.01	0.0	0.05	4.19	0.58	0.05	0.0	0.0	2.26	0.06	1.16	0.05	0.01	0.45	0.09	0.0	0.0	0.0	3.76	0.0	0.96	0.02	0.0	0.02	0.0	1.4	0.03	0.0	0.01	0.1	0.05	0.01
PAX3	0.0	0.01	0.02	0.01	0.0	0.01	0.01	0.02	0.0	0.02	0.02	0.05	0.01	0.01	0.03	0.03	0.01	0.0	7.31	0.0	0.0	4.04	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.06	0.0	1.11	0.03	0.03	0.0	0.12	0.0	0.0	0.01	0.03	2.85	0.0	0.04	0.0	0.0	0.06	0.01	0.03	0.02	0.04	0.0
MPL	0.01	0.03	0.0	0.01	0.0	0.02	0.01	0.02	0.03	0.02	0.02	0.03	0.0	0.05	0.02	0.04	0.01	0.02	0.05	0.05	0.11	0.02	0.02	0.02	0.01	0.09	0.02	0.17	0.05	0.03	0.02	0.05	0.05	0.07	0.02	0.04	0.08	0.02	0.0	0.07	0.0	0.04	0.0	0.02	0.06	0.01	0.11	0.0	0.0	0.3	0.01
RPN1	197.86	179.5	187.56	152.48	302.07	210.59	159.11	189.9	149.28	176.53	124.9	161.33	199.52	263.27	136.23	262.23	155.72	129.38	125.26	371.84	149.16	164.54	276.96	191.56	210.49	186.61	61.87	280.98	391.38	108.82	97.88	225.31	425.53	216.68	171.26	217.46	153.69	187.14	146.31	138.58	192.9	174.41	119.84	150.61	185.08	153.17	172.13	129.67	145.24	108.29	117.81
RALGDS	14.16	31.54	42.1	34.32	25.11	12.81	58.82	21.37	7.2	37.93	36.42	15.59	25.5	16.6	87.37	19.48	38.11	29.3	35.01	36.32	88.34	20.6	17.95	26.77	24.13	49.57	23.19	37.47	26.4	9.16	8.78	25.9	11.38	23.26	30.05	24.31	79.66	22.39	27.62	28.87	37.97	7.35	20.82	21.17	14.81	15.69	15.93	16.29	29.62	20.7	15.51
HNF1A	0.18	0.56	0.61	1.06	0.14	0.42	0.74	6.17	0.24	0.21	0.46	0.91	1.01	0.53	0.31	0.16	0.63	0.65	0.67	1.8	0.44	0.29	0.5	0.38	0.4	0.23	0.47	0.82	0.17	0.12	0.69	0.19	0.1	0.62	0.45	0.26	1.18	0.34	0.37	0.6	1.08	3.73	0.43	0.53	0.22	0.39	0.43	0.22	0.05	0.35	0.33
LASP1	45.09	245.63	1436.5	111.41	100.8	226.84	90.22	106.44	104.32	142.68	77.48	390.83	139.13	88.76	85.58	80.72	157.61	91.38	53.61	79.67	35.74	82.58	231.44	250.76	247.73	63.67	37.11	248.46	138.5	84.39	11.77	49.53	132.97	181.99	67.77	45.24	106.75	95.55	113.21	284.52	388.17	161.94	80.21	82.45	104.33	66.31	201.15	198.2	119.36	55.76	671.54
PTPRD	0.01	0.01	0.01	0.04	15.19	0.01	11.79	31.93	0.03	0.2	1.08	0.03	0.02	0.33	2.5	0.13	0.03	0.03	2.65	0.04	0.19	0.09	0.06	0.06	0.15	0.02	0.2	0.02	0.0	0.05	0.16	0.02	0.01	0.02	0.01	0.08	0.02	0.09	0.07	0.0	1.56	0.01	1.04	0.01	0.12	0.01	0.0	0.06	0.0	0.85	0.0
HSP90AA1	1274.8	722.17	1188.2	824.47	1336.3	698.84	411.11	692.18	537.06	753.42	1899.4	1135.2	774.08	1027.6	843.15	1057.9	738.44	779.13	762.94	539.15	837.21	212.42	1252.6	1022.9	843.24	1632.9	1084.9	641.07	933.31	339.24	704.33	566.35	691.2	266.95	1124.7	970.7	2448.7	1351.1	947.88	929.5	1260.4	320.8	757.67	1194.2	604.64	702.88	1212.4	451.4	770.47	1989.9	1137.9
SDHC	249.36	240.75	256.36	309.78	114.03	146.59	281.76	135.26	64.6	353.68	235.83	201.98	165.6	136.56	112.67	185.27	224.61	228.45	281.47	272.71	187.47	61.4	269.54	247.25	272.74	164.75	204.89	253.17	248.37	97.26	134.96	98.58	95.08	219.65	145.21	115.55	136.15	175.02	182.32	119.9	158.61	177.97	550.17	237.0	153.21	257.51	295.66	79.04	306.17	255.6	241.2
HOXC13	18.88	17.18	7.4	25.36	13.47	0.99	44.99	19.6	12.89	29.43	0.11	24.52	24.24	20.4	19.19	4.53	15.59	5.69	12.73	9.38	9.8	8.27	18.66	25.92	17.64	7.7	8.98	29.09	11.24	6.04	0.02	5.92	0.08	4.05	19.95	5.46	1.26	14.78	19.54	0.03	16.66	43.53	4.27	26.97	18.78	32.8	18.41	13.8	14.02	9.08	30.04
MAP3K13	19.77	32.6	20.87	20.42	13.83	36.5	24.52	1.3	35.0	15.68	17.93	17.31	17.49	23.47	17.84	10.85	33.32	43.9	50.6	0.54	26.01	26.28	50.92	43.32	38.82	17.18	11.55	29.3	66.2	28.42	16.98	10.18	16.49	35.23	11.8	14.17	28.61	22.5	15.53	21.68	19.7	39.3	13.4	25.79	14.79	26.43	38.79	20.58	27.21	23.61	22.69
NCKIPSD	18.03	20.19	9.12	16.91	15.49	14.41	21.06	16.54	8.15	15.72	20.61	14.82	14.11	12.13	14.35	14.72	15.93	9.42	12.77	14.17	27.31	4.23	12.44	19.37	11.19	15.31	7.16	24.49	15.08	6.08	15.59	17.54	27.38	14.83	9.78	8.62	15.96	10.77	15.17	18.16	21.18	3.3	12.6	21.82	14.26	13.48	14.34	15.96	22.29	10.21	15.81
SKI	10.94	12.42	15.82	10.63	32.68	9.69	26.23	31.82	4.17	16.05	19.74	8.35	6.23	25.16	44.57	19.66	8.68	17.76	7.82	17.9	12.55	12.64	12.94	12.45	8.23	22.73	6.23	23.94	26.78	9.66	8.97	12.01	23.56	14.33	12.82	8.8	6.96	17.09	7.63	28.2	17.26	7.2	12.8	17.0	10.99	13.93	5.78	8.06	11.39	11.38	5.9
OMD	0.02	0.01	0.0	0.02	0.03	0.0	0.0	0.14	0.0	0.01	0.0	0.01	0.02	0.0	0.02	0.06	0.03	0.01	0.01	0.02	0.08	0.01	0.06	0.04	0.0	0.02	0.0	0.0	0.01	0.0	0.01	0.17	0.11	0.0	0.02	0.01	0.02	0.12	0.02	0.0	0.0	0.02	0.04	0.01	0.01	0.42	0.01	0.01	0.06	0.0	0.02
PTPN11	63.96	71.49	50.72	62.39	56.97	59.85	35.29	64.34	38.83	69.94	40.13	66.22	78.82	65.43	38.99	45.4	68.21	80.16	48.18	66.45	41.84	25.1	35.44	66.49	60.24	41.79	37.09	110.27	43.0	15.27	80.61	33.97	57.33	63.27	40.15	39.79	54.03	36.58	53.04	70.9	98.09	36.57	37.34	45.57	42.91	43.93	59.64	27.4	43.82	52.86	47.69
ARID1B	17.79	21.9	11.73	11.75	17.21	8.33	23.85	28.74	4.57	11.26	16.65	11.58	20.36	17.74	26.28	21.03	18.05	12.62	18.61	12.87	11.67	8.48	8.49	15.5	5.95	9.97	10.35	15.27	21.71	12.29	14.51	10.94	10.95	8.73	8.78	6.0	11.83	9.19	13.02	6.06	18.87	7.76	11.38	15.73	15.04	13.06	12.32	8.53	15.97	7.68	13.48
IL21R	0.0	0.03	0.0	0.05	0.11	0.13	0.03	0.05	0.01	0.01	0.43	0.01	0.02	0.04	0.04	3.73	0.05	0.08	0.11	0.05	0.01	0.03	0.06	0.03	0.34	0.01	0.0	0.07	0.0	0.08	1.02	0.8	1.66	0.44	0.14	0.13	0.11	0.08	0.03	0.19	0.04	0.01	0.13	0.0	0.03	0.01	0.04	0.05	0.05	0.05	0.0
PREX2	0.0	0.01	0.03	0.0	0.01	0.01	2.17	38.29	0.0	0.0	0.56	0.02	0.0	0.01	0.22	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
CBLC	17.92	33.32	0.05	24.98	0.03	0.24	9.49	0.94	19.96	35.97	5.97	2.96	12.61	35.03	12.74	0.04	6.0	0.64	22.8	6.69	10.82	11.13	14.89	10.25	4.78	9.58	24.87	23.5	25.39	21.06	0.0	25.71	0.02	15.39	0.07	0.09	32.44	0.01	37.09	0.16	0.08	16.23	0.02	12.19	28.43	17.72	15.42	17.48	0.11	26.59	0.06
BCORL1	1.11	4.9	1.15	2.09	10.34	6.29	2.31	13.39	1.17	4.22	15.75	3.01	5.05	8.24	11.46	1.78	0.91	3.93	2.18	4.02	2.02	2.4	1.36	5.99	3.88	2.79	0.42	8.56	0.65	3.46	2.21	4.37	6.13	4.36	3.69	3.77	1.43	4.13	2.0	4.82	5.32	1.91	10.96	2.71	4.68	0.49	5.08	0.43	2.77	2.51	2.05
CDK6	2.19	3.04	1.56	6.4	13.16	16.67	0.09	5.34	4.99	0.14	23.75	3.09	0.37	14.42	22.58	16.74	4.6	0.47	2.55	6.76	11.65	4.32	5.3	7.54	2.79	1.31	0.05	62.65	19.2	7.98	5.42	12.74	19.18	3.77	6.84	0.39	0.09	18.59	2.12	18.25	6.39	3.05	3.07	0.41	5.12	4.46	0.39	1.06	2.0	2.65	4.77
PCBP1	339.95	334.75	174.65	222.0	196.34	280.98	303.82	238.1	182.96	220.8	255.56	263.11	215.64	159.38	97.15	156.08	339.73	225.44	113.44	201.28	284.25	150.96	185.4	277.87	248.68	209.14	131.32	202.98	247.7	141.62	216.01	157.16	243.55	159.11	224.23	231.1	166.57	170.93	164.99	200.43	296.57	229.5	363.35	273.88	295.9	264.99	163.41	93.66	135.26	102.35	186.62
MSH6	36.63	56.08	39.66	30.55	44.88	31.71	86.88	78.69	25.33	67.21	53.52	37.15	51.26	67.19	48.21	62.12	42.1	109.13	21.45	37.72	38.85	25.44	45.95	57.0	59.74	30.57	13.15	61.88	36.14	23.79	22.66	37.12	35.71	56.16	38.85	22.61	27.52	55.11	17.68	69.58	51.89	19.2	89.69	42.91	76.38	20.14	29.21	15.6	71.51	17.82	27.73
FAM47C	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.04	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
