id	R2_test	R2_val	epoch	RMSE_test	RMSE_val
0.0	0.6120861271389936	-1.0	0.0		
1.0	0.6565855569884953	-1.0	0.0		
2.0	0.8344029775473776	0.8680241722114743	40.0	1.164960880112691	1.0040764602006784
3.0	0.8223407380142927	0.8596134380187206	34.0	1.1359705003940428	1.035246112220979
4.0	0.8647955323164749	0.8583671981405654	38.0	1.0390066826309323	1.030715088866161
5.0	0.8446434462886135	0.8427469219484347	32.0	1.078729618892355	1.1013910194417786
6.0	0.8412919768870621	0.8355201425235377	40.0	1.1050848188723428	1.0783455859684796
7.0	0.8626174251506464	0.8396850745393666	38.0	1.0051900869879944	1.095664863877246
8.0	0.8600299442725431	0.8309624537520485	40.0	1.067921018761566	1.094779447815757
9.0	0.8447507544000126	0.8401530831528685	36.0	1.0486024769935125	1.1190182449695174
10.0	0.8286810977240264	0.8555203474430086	34.0	1.1096780302572848	1.0338058430344117
11.0	0.8376230592712324	0.8469269512426268	36.0	1.085223272567383	1.0767918515846162
12.0	0.8540515002646063	0.8250911552082738	40.0	1.030805137647985	1.1266969550507477
