id	R2_test	R2_val	epoch
0.0	0.8534924169353385	0.8376519403289875	54.0
1.0	0.8351023226982655	0.7863544940808047	56.0
2.0	0.8418572136277878	0.8527676525500435	40.0
3.0	0.7853897818544241	0.8247354461297456	72.0
4.0	0.8350558173564806	0.8418181159205015	86.0
5.0	0.8574027798211723	0.8296704257950589	32.0
6.0	0.7930681794858974	0.8038588744959462	32.0
7.0	0.8228653835112333	0.7766585990664661	56.0
8.0	0.8016157677877584	0.8676276547295397	32.0
9.0	0.8311640365519309	0.7174253628578706	68.0
10.0	0.8053600021097878	0.8160445819182309	44.0
11.0	0.7878398642557594	0.8459428219832209	36.0
12.0	0.8235855348214189	0.8926469815468628	44.0
13.0	0.750706049428297	0.8215517453195321	52.0
14.0	0.8156078798027315	0.841322539283731	12.0
