id	R2_test	R2_val	epoch	RMSE_test	RMSE_val
0.0	0.8466957435671105	0.8265515543493585	36.0		
1.0	0.8429344508277095	0.8557340375699625	48.0		
2.0	0.8459928859079087	0.8736688141088604	68.0		
3.0	0.8415144591686091	0.817736964331327	62.0		
4.0	0.8024520015427852	0.8436270374160866	38.0		
5.0	0.8348320587845174	0.813029313596263	48.0		
6.0	0.8205955679059145	0.8809127627436689	64.0		
7.0	0.8297434226171982	0.8436407223351745	50.0		
8.0	0.8051645438180451	0.8395918928312539	60.0		
9.0	0.7920389538707933	0.8066861082487845	30.0		
10.0	0.7745583593200579	0.8016410241965233	62.0		
11.0	0.8508319414991375	0.7568688602698915	30.0		
12.0	0.767345756379192	0.871160570440005	54.0		
13.0	0.7810443307708149	0.8338451207759163	52.0		
14.0	0.8277014896484829	0.7846368283932349	44.0		
15.0	0.8562228291191479	0.8685502519535694	36.0		
16.0	0.8218895861945135	0.7843256048917401	54.0		
17.0	0.7991820004586555	0.8133626236307878	40.0		
18.0	0.8626177791785766	0.9045274472301836	34.0		
19.0	0.8083172691622215	0.8487665188741869	34.0		
20.0	0.8342442199897241	0.7986018641061895	32.0	1.1238834326885077	1.1967525473172478
21.0	0.8566615049880723	0.7948634031359707	36.0	1.076678744918829	1.1304243272947567
22.0	0.7987733885094608	0.7674179517322726	54.0	1.0665145943445011	1.271208611138933
23.0	0.8180522646398014	0.8557725728607974	44.0	1.0753297162530997	0.9321938674238116
24.0	0.8112545998893959	0.8462330303036483	60.0	1.2222557873837714	1.0505004020479178
25.0	0.8344437223427092	0.8548899058892857	48.0	1.1417544793539762	1.0356902229169762
26.0	0.8226305487795486	0.7886194068895841	42.0	1.1760576233575335	1.2145174834240633
27.0	0.8762493191197126	0.8392210696959177	54.0	1.0603982514391264	1.055081514502807
28.0	0.8131452806154721	0.8543684579119815	28.0	1.1713714780447255	0.9772828562715536
29.0	0.8201860694365164	0.8731589964463434	54.0	1.1488930894943403	0.9746854823152598
30.0	0.8090743601259932	0.8157558447754039	34.0	1.2063590804650584	1.129907463231574
31.0	0.8355506558474363	0.8722259689144055	52.0	1.1771776134273269	0.9542691104141208
32.0	0.800689125376343	0.752334234879688	40.0	1.213406280626578	1.2395595508921016
33.0	0.8491691658495908	0.8494533233858276	52.0	1.0894738122111074	1.0392741420626204
34.0	0.78168625074496	0.8435834487904261	34.0	1.332968340805249	1.0104051951515738
35.0	0.8778212583277257	0.8686413169696667	50.0	0.9978114326598072	1.0379192742416068
36.0	0.8174061540301668	0.8604263149722136	44.0	1.0999598115111069	1.041720578707587
37.0	0.8241602824300682	0.8145128978553886	42.0	1.1345991846497576	1.1087878795595798
38.0	0.8163777311601144	0.8040413865795246	52.0	1.0983466075030068	1.1701713904076578
39.0	0.8402516879941527	0.8577005707966749	28.0	1.034977219965384	1.1089789556028962
40.0	0.8277690165528191	0.8456275606717232	44.0	1.0646551969670763	1.0205699998445843
41.0	0.838003590000032	0.8365545214827699	42.0	1.101567410114888	1.1349015662749296
42.0	0.8156501301919122	0.8339063317329661	32.0	1.186666322686866	1.1190107293579317
43.0	0.7976009235835927	0.7877905048934407	32.0	1.2796029490859482	1.1800957751256442
44.0	0.7552955993566142	0.8711866035090481	52.0	1.253217115577578	1.1655384759108591
45.0	0.8019500970553992	0.8565583998321475	32.0	1.1675849845696884	1.0370193480356382
46.0	0.8126511184617059	0.8324366551721982	32.0	1.067271774254595	1.0990018699839146
47.0	0.8121194444337703	0.8573552244010927	36.0	1.1002601344633345	1.073007170267186
48.0	0.8482406346061783	0.8616698549093031	58.0	1.050448902606412	1.0225801985224234
49.0	0.8681060045520141	0.8295413817130584	32.0	1.0165797256126006	1.2105122598623461
