id	R2_test	R2_val	epoch	RMSE_test	RMSE_val
0.0	0.8137439106426615	0.8279878665380616	50.0		
1.0	0.8292131023504874	0.8858770491953043	48.0		
2.0	0.8702377431282999	0.8097027491967879	56.0		
3.0	0.8164022258289422	0.8302655204711059	42.0		
4.0	0.7801293437955068	0.8440304986331577	30.0		
5.0	0.8237818741589987	0.8264982958155567	46.0		
6.0	0.8700590972980891	0.8574790424768151	38.0		
7.0	0.8124263361323764	0.7920300566322102	52.0		
8.0	0.8435046990730084	0.8253246472559898	50.0		
9.0	0.7911342656249034	0.8142918269960693	66.0		
10.0	0.7981958450844614	0.8606554809801066	84.0		
11.0	0.7664982737556151	0.8225434622513368	52.0		
12.0	0.8436991324565634	0.8844297566938145	48.0		
13.0	0.7827540657853576	0.8444261118350296	46.0		
14.0	0.8548898315867732	0.8731013585950247	48.0		
15.0	0.8046938826111821	0.8674278881209909	46.0		
16.0	0.8306188031283221	0.8298683554550055	32.0		
17.0	0.7497559225324786	0.8253732544764854	78.0		
18.0	0.8498314874805987	0.8717917010169364	36.0		
19.0	0.8091518014238896	0.7927921701102719	30.0		
20.0	0.7973889257122102	0.8291140373175031	68.0	1.176830491103997	1.1256215454564469
21.0	0.8329909628351687	0.8631093908854119	48.0	1.1134361670856223	0.9773315574783346
22.0	0.8347524716263259	0.8231671532086141	40.0	1.0968685895174624	1.0548354978510068
23.0	0.8519957107012324	0.8267957444364099	34.0	1.1630761178953637	1.0898784044774146
24.0	0.7830567415705818	0.8601928159822153	30.0	1.1297876894650654	1.0059329986889978
25.0	0.8199642658595185	0.8653560683693182	82.0	1.0616224589438488	1.0852067685393194
26.0	0.7435147474617645	0.8329843362276437	36.0	1.3756590441901613	1.2024159510387176
27.0	0.7943414672168173	0.8347079592361362	36.0	1.1696722926730856	1.0253665216465015
28.0	0.8267522708184489	0.8403062965359324	34.0	1.0657224471692073	1.0870544912304467
29.0	0.8005383925577957	0.8577185240505553	36.0	1.0878789924037326	1.0605895844910431
30.0	0.8159233603659691	0.8073633647190869	36.0	1.2440472733736605	1.2560086840420022
31.0	0.8161172847508444	0.8111228665752542	42.0	1.0678034533335956	1.049964561472272
32.0	0.8037102081252677	0.8646048843910982	56.0	1.1221984941030383	0.9859954245259692
33.0	0.8678641044945958	0.8282697167572586	36.0	1.0585455907921872	1.050138333099353
34.0	0.7840431320174008	0.8127562415214729	26.0	1.2489395628240507	1.0265461230205222
35.0	0.7763519722358314	0.7953242687589597	24.0	1.3269509727737672	1.2073380942911605
36.0	0.828239552795016	0.8130089896789127	58.0	1.1591570113887837	1.1013776152147208
37.0	0.7750613194921755	0.8416792572328676	46.0	1.1262038421108476	1.119255154328261
38.0	0.6910323075120726	0.8099959554160923	46.0	1.4059789582216016	1.1113735047852304
39.0	0.8357576156184756	0.8459661449980996	44.0	1.1101531187546718	1.1633955648202727
40.0	0.8205626679542772	0.8129517217992606	52.0	1.097818212821794	1.148126342872406
41.0	0.8685368033370244	0.8063385123278899	66.0	1.1462225234017904	1.3051798803367194
42.0	0.8442736444820527	0.8550613177438297	32.0	1.1536058841476942	0.9902428333452932
43.0	0.6796132862081181	0.8787673978153567	74.0	1.3168510635492874	1.0324199738071964
44.0	0.7998457843088805	0.8196672735180596	44.0	1.1769345152503665	1.2458937120513862
