id	R2_test	R2_val	epoch
0.0	0.8311956814056235	0.8414071534911677	80.0
1.0	0.8067246380551568	0.7921002569979987	58.0
2.0	0.7825401821828036	0.8494138009793721	140.0
3.0	0.8091874252536988	0.8263913089213181	132.0
4.0	0.8165882603855721	0.8140780501846209	52.0
5.0	0.8307640664009701	0.8256179021583161	82.0
6.0	0.7717610190421684	0.7802187132660867	26.0
7.0	0.8112051154160485	0.8059687875659204	60.0
8.0	0.8271500350491534	0.8208571411086278	116.0
9.0	0.7720319216153937	0.8240183294831858	136.0
10.0	0.7975910106115531	0.7606675378901285	92.0
11.0	0.8158288079438233	0.8325793105405658	140.0
12.0	0.8051504513724632	0.8019577529093567	140.0
13.0	0.8184940977157539	0.8030579181444877	46.0
14.0	0.8471603978929821	0.8267695787965634	124.0
