id	R2_test	R2_val	epoch
0.0	0.8246756079819584	0.8748693388951679	58.0
1.0	0.8491469497510662	0.8267556186792372	46.0
2.0	0.8703386230641112	0.8395572050924397	42.0
3.0	0.8316904460030135	0.8499414601536927	46.0
4.0	0.7806875673262881	0.8607603742795613	78.0
5.0	0.7790227588577199	0.8165139807148539	32.0
6.0	0.7624739119973813	0.8399867105510374	48.0
7.0	0.837732850288577	0.8425748068667497	40.0
8.0	0.8330114374732399	0.8412858295670343	74.0
9.0	0.8380312604432113	0.8456515733385186	32.0
10.0	0.7645222576685498	0.8444338862732437	60.0
11.0	0.8255215262336614	0.8460059101018725	46.0
12.0	0.8350492311535748	0.8426170093295109	42.0
13.0	0.8124696562922138	0.8450980353244235	28.0
14.0	0.7876120076630554	0.8191260597675459	26.0

