id	R2_test	R2_val	epoch
0.0	0.8424460061682987	0.7978323752011551	100.0
1.0	0.7998203066319205	0.8365946222634453	60.0
2.0	0.8382293185904715	0.839357322906418	98.0
3.0	0.8166073934295107	0.8352055140102574	60.0
4.0	0.8151940766586561	0.8369360782966259	94.0
5.0	0.8492187678884042	0.8597999548024353	100.0
6.0	0.8553605007372865	0.8473483093265461	80.0
7.0	0.8207353991519581	0.8184234589083372	92.0
8.0	0.8297658902915167	0.8070672012995155	100.0
9.0	0.8629307308027713	0.8039583946241924	130.0
10.0	0.8043334910921759	0.8303390705959538	106.0
11.0	0.8282975494776261	0.8653477978838044	126.0
12.0	0.7835401167978826	0.7915845848230543	100.0
0.0	0.0	0.0	0.0
14.0	0.8516502217686793	0.8781901768537116	142.0
15.0	0.8587849036894872	0.8722046527466479	88.0
16.0	0.7833966874721304	0.8623012410650612	58.0
17.0	0.8482113889520777	0.8645336187456037	92.0
18.0	0.7941531229243142	0.7856494205445341	132.0
19.0	0.8503328113824657	0.8634773237266613	110.0
20.0	0.7801684280057042	0.8101101413100216	34.0
21.0	0.7795905736589335	0.7983779604524182	180.0
22.0	0.8079399662302842	0.8231382230851062	158.0
23.0	0.8496711436421971	0.8725166168626803	40.0
24.0	0.8421125093814031	0.8535081902571339	92.0
25.0	0.614113348598912	-1.0	0.0
